concept,count,bucket
detailed rock textures,1,1-4
detailed shading,1,1-4
detailed stucco borders,1,1-4
detailed textile pattern,1,1-4
detailed wood carving patterns,1,1-4
devotees,1,1-4
devotional painting,1,1-4
dharmachakra,1,1-4
dharmachakra mudra,1,1-4
dhoti,1,1-4
dhotis,1,1-4
diadem,1,1-4
diagonal beam of light,1,1-4
diagonal branch structure,1,1-4
diagonal brushstrokes,1,1-4
diagonal composition with path,1,1-4
diagonal division of fields,1,1-4
diagonal fence line,1,1-4
diagonal geometric borders,1,1-4
diagonal light beams,1,1-4
diagonal mountain ridge,1,1-4
diagonal path perspective,1,1-4
diagonal pattern,1,1-4
diagonal perspective along the path,1,1-4
diagonal perspective along the shoreline,1,1-4
diagonal shoreline layout,1,1-4
diagonal slits,1,1-4
diagonal slopes,1,1-4
diagonal street composition,1,1-4
diagonal stripe patterns,1,1-4
diagonal tree branch framing,1,1-4
diagonal tree trunk,1,1-4
diagonally receding wall,1,1-4
diagrammatic space,1,1-4
diagrams,1,1-4
diamond kite,1,1-4
diamond pattern,1,1-4
diamond shapes,1,1-4
diamond-shaped canvas,1,1-4
diamonds,1,1-4
dianthus flowers,1,1-4
diffuse light,1,1-4
diffused lighting,1,1-4
diluted ink washes,1,1-4
dim evening light,1,1-4
dim orange horizon,1,1-4
dim sky,1,1-4
dim twilight lighting,1,1-4
dimly lit background,1,1-4
dining hall,1,1-4
dining scene,1,1-4
dining tables,1,1-4
directional arrows,1,1-4
directional lighting from the left,1,1-4
dirt field,1,1-4
dirt mound,1,1-4
dirt street,1,1-4
dirt yard,1,1-4
discarded clothing,1,1-4
discarded glove,1,1-4
discarded shoe,1,1-4
disciples,1,1-4
discs,1,1-4
disembodied face,1,1-4
distant bird,1,1-4
distant blue peaks,1,1-4
distant boat,1,1-4
distant building silhouette,1,1-4
distant castle and hills,1,1-4
distant church spire,1,1-4
distant city buildings,1,1-4
distant city view,1,1-4
distant classical building,1,1-4
distant cliffs,1,1-4
distant coastline,1,1-4
distant courtyard,1,1-4
distant crowd,1,1-4
distant dome,1,1-4
distant dome of santa maria della salute,1,1-4
distant domes,1,1-4
distant factory with smoke,1,1-4
distant figure in a boat,1,1-4
distant figure with horse,1,1-4
distant green shoreline,1,1-4
distant haystacks,1,1-4
distant hill with crosses,1,1-4
distant horse-drawn cart,1,1-4
distant hut,1,1-4
distant huts,1,1-4
distant landmass,1,1-4
distant landmasses,1,1-4
distant lights,1,1-4
distant monument,1,1-4
distant palace,1,1-4
distant pavilion,1,1-4
distant pavilions,1,1-4
distant pole,1,1-4
distant pond,1,1-4
distant pyramid,1,1-4
distant rider,1,1-4
distant river,1,1-4
distant river valley,1,1-4
distant rocks,1,1-4
distant rowing crew,1,1-4
distant ship,1,1-4
distant skyline,1,1-4
distant structures,1,1-4
distant swimmers,1,1-4
distant towers,1,1-4
distant town landscape,1,1-4
distant townscape,1,1-4
distant tree,1,1-4
distant water body,1,1-4
distemper on canvas,1,1-4
distemper on cloth,1,1-4
distorted creatures,1,1-4
distorted faces,1,1-4
distorted proportions,1,1-4
distressed plaster,1,1-4
distressed plaster texture,1,1-4
distressed surface,1,1-4
distressed woman in white dress,1,1-4
divided brushwork,1,1-4
divided canvas with water in foreground and town in background,1,1-4
divided interior and exterior scene,1,1-4
divided text and image layout,1,1-4
divided text columns,1,1-4
diving board,1,1-4
diving figure,1,1-4
dockworkers,1,1-4
dockyard,1,1-4
documents,1,1-4
doe,1,1-4
dog collar,1,1-4
dolls,1,1-4
dolphin motif,1,1-4
dolphin-shaped metal stand,1,1-4
dome building,1,1-4
dome in background,1,1-4
dome interior,1,1-4
domed church in the distance,1,1-4
domed mosque architecture,1,1-4
domed pavilions,1,1-4
domed roof,1,1-4
domed roofs,1,1-4
domed structure,1,1-4
domed structures,1,1-4
domestic chamber,1,1-4
domestic interior-exterior transition,1,1-4
domestic interiors,1,1-4
domestic kitchen,1,1-4
domestic kitchen interior,1,1-4
domestic outdoor scene,1,1-4
domestic play scene,1,1-4
domestic portrait,1,1-4
domestic workshop,1,1-4
dominant black,1,1-4
dominant blue,1,1-4
dominant green and yellow foliage,1,1-4
dominant green and yellow tones,1,1-4
dominant yellow,1,1-4
donkey-headed figure,1,1-4
door knob,1,1-4
doorway leading to another room,1,1-4
dormer window,1,1-4
dormers,1,1-4
dotted border,1,1-4
dotted borders,1,1-4
dotted garments,1,1-4
dotted texture,1,1-4
dotted texture strokes,1,1-4
dotting technique,1,1-4
double bass player,1,1-4
double exposure,1,1-4
double flute,1,1-4
double-breasted waistcoat,1,1-4
double-decker tram,1,1-4
double-headed eagle,1,1-4
double-leaf album format,1,1-4
dove in light beam,1,1-4
dove in the sky,1,1-4
dove of light,1,1-4
dove of the holy spirit,1,1-4
dove representing a spirit,1,1-4
dove representing the holy spirit,1,1-4
dove with light rays,1,1-4
dove with outstretched wings,1,1-4
dove with rays of light,1,1-4
doves,1,1-4
doves in bowls,1,1-4
dragon boat motifs,1,1-4
dragon carving on steps,1,1-4
dragon in waves,1,1-4
dragon motif on shield,1,1-4
dragon pattern,1,1-4
dragon patterns,1,1-4
dragon-headed boat prow,1,1-4
dragon-headed canopy pole,1,1-4
dragonflies,1,1-4
dramatic action scene,1,1-4
dramatic brushwork,1,1-4
dramatic character poses,1,1-4
dramatic chiaroscuro lighting,1,1-4
dramatic diagonal light beam,1,1-4
dramatic diagonal lines,1,1-4
dramatic firelight illumination,1,1-4
dramatic gestures,1,1-4
dramatic illumination from a single source,1,1-4
dramatic light and shadow,1,1-4
dramatic light contrast,1,1-4
dramatic scale contrast,1,1-4
dramatic sunlight and shadow,1,1-4
draped bed,1,1-4
draped cloak,1,1-4
draped collar,1,1-4
draped curtain background,1,1-4
draped curtains,1,1-4
draped dress,1,1-4
draped fabrics,1,1-4
draped figure,1,1-4
draped sheets,1,1-4
draped skirt,1,1-4
draped women,1,1-4
drapes,1,1-4
drawer,1,1-4
drawings,1,1-4
dress with puffed sleeves,1,1-4
dressing area,1,1-4
dried brown leaves,1,1-4
driftwood,1,1-4
drinking horn,1,1-4
dripped paint,1,1-4
dripping paint effect,1,1-4
driver,1,1-4
drivers,1,1-4
drum on stand,1,1-4
drum with geometric patterns,1,1-4
drumstick,1,1-4
drumsticks,1,1-4
dry branches,1,1-4
dry brush texture strokes,1,1-4
dry leaves,1,1-4
dry vegetation,1,1-4
dry wood,1,1-4
drypoint print,1,1-4
ducklings,1,1-4
ducks in a pool,1,1-4
dull blue,1,1-4
dull blue-grey,1,1-4
dull brown,1,1-4
dull grays,1,1-4
dull purple,1,1-4
dungeon,1,1-4
dungeon cell,1,1-4
dusk or dawn landscape,1,1-4
dusk sky tones,1,1-4
dust cloud,1,1-4
dusty green,1,1-4
dusty ground,1,1-4
dusty pink sky,1,1-4
dusty purple,1,1-4
dusty red,1,1-4
dusty road,1,1-4
dusty yellow,1,1-4
dutch flag,1,1-4
dutch golden age realism,1,1-4
dutch text,1,1-4
dwelling,1,1-4
dynamic action pose,1,1-4
dynamic brushstrokes,1,1-4
dynamic crowd composition,1,1-4
dynamic diagonal lines,1,1-4
dynamic diagonal movement,1,1-4
dynamic diagonal pose,1,1-4
dynamic drapery,1,1-4
dynamic drapery folds,1,1-4
dynamic figurative composition,1,1-4
dynamic figure poses,1,1-4
dynamic lines,1,1-4
dynamic motion,1,1-4
early 20th century city,1,1-4
early 20th-century neighborhood,1,1-4
early evening,1,1-4
early morning scene,1,1-4
early renaissance painting,1,1-4
early spring scene,1,1-4
earthen bank,1,1-4
earthen ground,1,1-4
earthenware bowl,1,1-4
earthenware vessel,1,1-4
earthly gathering,1,1-4
earthy background,1,1-4
earthy background tones,1,1-4
earthy brown and grey path,1,1-4
earthy brown and grey tower,1,1-4
earthy brown and ochre tones,1,1-4
earthy brown buildings,1,1-4
earthy brown foreground,1,1-4
earthy brown rocks,1,1-4
earthy brown skin tones,1,1-4
earthy browns and greens,1,1-4
earthy green and brown accents,1,1-4
earthy green and brown hill,1,1-4
earthy green background,1,1-4
earthy green-grey background,1,1-4
earthy ground tones,1,1-4
earthy ochre and brown,1,1-4
earthy ochres,1,1-4
earthy orange,1,1-4
earthy oranges,1,1-4
earthy reds,1,1-4
earthy skin tones,1,1-4
earthy terracotta,1,1-4
east asian calligraphy,1,1-4
east asian landscape painting,1,1-4
easter bread,1,1-4
ecclesiastical robes,1,1-4
edelweiss,1,1-4
edge of a forest,1,1-4
edwardian attire,1,1-4
eel,1,1-4
eels,1,1-4
eggplant,1,1-4
egret motif,1,1-4
egrets,1,1-4
eiffel tower,1,1-4
eiffel tower silhouette,1,1-4
eight-panel screen,1,1-4
eight-pointed stars,1,1-4
eighteenth-century attire,1,1-4
elaborate dress,1,1-4
elaborate headdress,1,1-4
elaborate headwear,1,1-4
elaborate wigs,1,1-4
elderly figure,1,1-4
elderly man in red and pink robes,1,1-4
elderly man with long white beard,1,1-4
elderly men,1,1-4
elderly servant,1,1-4
elderly warrior,1,1-4
elderly woman holding a candle,1,1-4
elderly woman in white headscarf,1,1-4
elderly woman with a headscarf,1,1-4
elderly woman with headscarf,1,1-4
electric chair,1,1-4
electrical outlet,1,1-4
electrical plug sculpture,1,1-4
elevated granary,1,1-4
elevated platform,1,1-4
elevated train track,1,1-4
elijah,1,1-4
elongated capsules,1,1-4
elongated earlobes,1,1-4
elongated face,1,1-4
elongated human figure,1,1-4
emaciated figure,1,1-4
embankment,1,1-4
embossed gold foil,1,1-4
embossed lettering,1,1-4
embossed plate edge,1,1-4
embossed texture,1,1-4
embracing figures,1,1-4
embroidered blouse,1,1-4
embroidered bodice,1,1-4
embroidered collar,1,1-4
embroidered collar pattern,1,1-4
embroidered cuff,1,1-4
embroidered fabric,1,1-4
embroidered saint figure,1,1-4
embroidered sash,1,1-4
embroidered shirt,1,1-4
embroidered skirt,1,1-4
embroidered sleeves,1,1-4
embroidered socks,1,1-4
embroidered suspenders,1,1-4
embroidered text,1,1-4
embroidered trim,1,1-4
embroidered tunic hem,1,1-4
embroidered velvet coat,1,1-4
embroidered vest,1,1-4
embroidery and drawing,1,1-4
embroidery frame,1,1-4
embroidery patterns,1,1-4
empty room,1,1-4
empty space background,1,1-4
empty space on the right,1,1-4
empty space representation of mist,1,1-4
enamel flowers,1,1-4
enchanted forest,1,1-4
enclosed courtyard,1,1-4
engineering design,1,1-4
enormous lance,1,1-4
enso-like circle,1,1-4
entablature,1,1-4
entertainment avenue,1,1-4
enthroned ruler,1,1-4
enthroned woman,1,1-4
entomological collection layout,1,1-4
epaulet,1,1-4
epaulettes,1,1-4
episodic narrative layout,1,1-4
equestrian combat,1,1-4
equestrian gathering,1,1-4
ermine cape,1,1-4
ermine cloak,1,1-4
ermine robe,1,1-4
ermine tails pattern,1,1-4
ermine-lined cloak,1,1-4
estate,1,1-4
estate courtyard,1,1-4
estate entrance,1,1-4
estate terrace,1,1-4
estuary,1,1-4
etched lines,1,1-4
etching texture,1,1-4
etching with aquatint,1,1-4
ethereal landscape,1,1-4
ethereal setting,1,1-4
eucalyptus leaves,1,1-4
european alleyway,1,1-4
european architecture,1,1-4
european city street,1,1-4
european historic city,1,1-4
european landscape,1,1-4
european riverside town,1,1-4
european street scene,1,1-4
european town view,1,1-4
european townscape,1,1-4
european village scene,1,1-4
european village street,1,1-4
evening,1,1-4
evening dinner,1,1-4
evening promenade,1,1-4
evening wear,1,1-4
evergreen cypress trees,1,1-4
ewer,1,1-4
exaggerated figure drawing,1,1-4
exaggerated figures,1,1-4
exaggerated volume,1,1-4
excavation site,1,1-4
execution chamber,1,1-4
exhibition display,1,1-4
explosions,1,1-4
explosive rays,1,1-4
exposed phalluses,1,1-4
exposed wood,1,1-4
expressionistic portraiture,1,1-4
expressionistic style,1,1-4
expressive anatomy,1,1-4
expressive calligraphic brushstrokes on branches,1,1-4
expressive distortion,1,1-4
expressive figurative style,1,1-4
expressive ink drawing,1,1-4
expressive ink washes on rocks,1,1-4
expressive painting,1,1-4
extended hand,1,1-4
exterior building view,1,1-4
exterior window view,1,1-4
eye motif,1,1-4
eyeball,1,1-4
eyeshadow,1,1-4
fabric patches,1,1-4
faces in background,1,1-4
facial features,1,1-4
facial markings,1,1-4
factory district,1,1-4
factory stacks,1,1-4
faded black,1,1-4
faded brushwork,1,1-4
faded edges,1,1-4
faded flesh tones,1,1-4
faded greens,1,1-4
faded ink washes,1,1-4
faded reds,1,1-4
faint background lettering,1,1-4
faint brown ink,1,1-4
faint buildings,1,1-4
faint circular halo,1,1-4
faint cyrillic lettering,1,1-4
faint face print,1,1-4
faint grey,1,1-4
faint houses,1,1-4
faint red,1,1-4
faint shading,1,1-4
fairy,1,1-4
falconry equipment,1,1-4
fallen autumn leaves,1,1-4
fallen column drums,1,1-4
fallen flowers,1,1-4
fallen horse,1,1-4
fallen knights,1,1-4
fallen rose,1,1-4
fallen soldier,1,1-4
fallen stone blocks,1,1-4
falling figures,1,1-4
falling leaves,1,1-4
falling petal,1,1-4
falling snow,1,1-4
family crest patterns,1,1-4
family crests on banners,1,1-4
family crests on clothing,1,1-4
family gathering,1,1-4
fan painting style,1,1-4
fan shape,1,1-4
fan-shaped album leaf,1,1-4
fan-shaped border,1,1-4
fan-shaped format,1,1-4
fan-shaped frame composition,1,1-4
fanciful landscape,1,1-4
fantasy city,1,1-4
fantasy setting,1,1-4
farmhouse exterior,1,1-4
farming scene,1,1-4
fasces,1,1-4
fasteners,1,1-4
father,1,1-4
fawn,1,1-4
feast table,1,1-4
feather,1,1-4
feather fan,1,1-4
feather-like textures,1,1-4
feathered hats,1,1-4
feathered headpiece,1,1-4
feathered helmet,1,1-4
feathered plume,1,1-4
feathers in hair,1,1-4
feeding dish,1,1-4
feitian,1,1-4
feitian motif,1,1-4
feline headdress,1,1-4
felled logs,1,1-4
felled tree trunks,1,1-4
female attendant massaging feet,1,1-4
female dancer in green dress,1,1-4
female duck,1,1-4
female figure massaging feet,1,1-4
female performer,1,1-4
female pheasant,1,1-4
fence posts,1,1-4
fenced pasture,1,1-4
fencing foils,1,1-4
fencing masks,1,1-4
fencing match,1,1-4
fencing uniforms,1,1-4
ferace,1,1-4
fern leaves,1,1-4
festival,1,1-4
festive event,1,1-4
festive lights,1,1-4
fez,1,1-4
fiddle player,1,1-4
field and forest,1,1-4
field at dusk,1,1-4
field background,1,1-4
field edge,1,1-4
field grass,1,1-4
field of autumn flowers,1,1-4
field of flowers,1,1-4
field with trees,1,1-4
fiery abyss,1,1-4
fiery color palette,1,1-4
fiery halo,1,1-4
fiery orange and red,1,1-4
fiery oranges,1,1-4
fiery red,1,1-4
figural scene,1,1-4
figurative ceiling fresco,1,1-4
figurative painting on lid,1,1-4
figurative sculpture,1,1-4
figure in a red robe,1,1-4
figure in bed,1,1-4
figure in black habit,1,1-4
figure in dark robes,1,1-4
figure in patterned robe,1,1-4
figure in pink robe,1,1-4
figure in red cloak,1,1-4
figure in red coat,1,1-4
figure in red dress,1,1-4
figure in red robes,1,1-4
figure in white robe,1,1-4
figure in white robe on a cliff,1,1-4
figure inside cottage,1,1-4
figure lying on the ground,1,1-4
figure on horseback,1,1-4
figure sitting,1,1-4
figure sketches,1,1-4
figure study,1,1-4
figure under parasol,1,1-4
figure walking,1,1-4
figure walking in distance,1,1-4
figure with red cap,1,1-4
figure with red umbrella,1,1-4
figure with sword,1,1-4
figure with umbrella,1,1-4
figure with white parasol,1,1-4
figures dancing,1,1-4
figures in a boat,1,1-4
figures in black garments,1,1-4
figures in blue clothing,1,1-4
figures in canoe,1,1-4
figures in clouds,1,1-4
figures in green garments,1,1-4
figures in historical costume,1,1-4
figures in long dresses,1,1-4
figures in peasant clothing,1,1-4
figures in red robes,1,1-4
figures in renaissance attire,1,1-4
figures in saris,1,1-4
figures in swimwear,1,1-4
figures in traditional attire,1,1-4
figures in white dresses,1,1-4
figures in window,1,1-4
figures in winter clothing,1,1-4
figures inside buildings,1,1-4
figures inside pavilion,1,1-4
figures kneeling,1,1-4
figures on a hill,1,1-4
figures on boat,1,1-4
figures on deck,1,1-4
figures on pier,1,1-4
figures on shore,1,1-4
figures sitting at tables,1,1-4
figures standing,1,1-4
figures standing on the bank,1,1-4
figures walking on paths,1,1-4
figures wearing straw hats,1,1-4
figures with crowns,1,1-4
figures with staffs,1,1-4
filigree patterns,1,1-4
film strip,1,1-4
film strip motif,1,1-4
fine architectural detail,1,1-4
fine blending,1,1-4
fine brushwork on cats,1,1-4
fine brushwork on feathers,1,1-4
fine brushwork on paper,1,1-4
fine brushwork on the bird,1,1-4
fine brushwork on trees,1,1-4
fine detail realism,1,1-4
fine gold flecks,1,1-4
fine gold line work,1,1-4
fine horizontal and vertical lines,1,1-4
fine ink hatching,1,1-4
fine line detail on birds,1,1-4
fine line outlines,1,1-4
fine linework,1,1-4
fine outline,1,1-4
fine parallel lines,1,1-4
fine shading,1,1-4
fine stippling,1,1-4
fine texture,1,1-4
fine texture rendering,1,1-4
fine-line etching,1,1-4
fine-line hatching,1,1-4
fine-line illustration,1,1-4
fine-line ink and color,1,1-4
fine-line ink and color on silk,1,1-4
fine-line ink and color painting,1,1-4
fine-line ink drawing with color washes,1,1-4
fine-line landscape painting,1,1-4
fine-line outline,1,1-4
fine-line watercolor,1,1-4
fingernails,1,1-4
fins,1,1-4
fir trees,1,1-4
fire escape,1,1-4
fire hydrant,1,1-4
fire in a cave opening,1,1-4
fire iron,1,1-4
fire scene,1,1-4
fireplace with red marble columns,1,1-4
fires,1,1-4
firewood bundle,1,1-4
fish fins,1,1-4
fish on wheels,1,1-4
fish scales,1,1-4
fish-like shape,1,1-4
fisherwoman,1,1-4
fishing figure,1,1-4
fishing net,1,1-4
fishing scene,1,1-4
fishmonger,1,1-4
fist,1,1-4
five children,1,1-4
five women,1,1-4
fjord,1,1-4
flagpoles,1,1-4
flame border,1,1-4
flame halo,1,1-4
flame-like border,1,1-4
flame-like lines,1,1-4
flame-like textile pattern,1,1-4
flame-shaped halo,1,1-4
flaming heart,1,1-4
flaming jewel,1,1-4
flaming jewels,1,1-4
flamingo,1,1-4
flat background perspective,1,1-4
flat background planes,1,1-4
flat background wash,1,1-4
flat color background,1,1-4
flat color borders,1,1-4
flat color palette,1,1-4
flat decorative patterning,1,1-4
flat gold halos,1,1-4
flat gold panels,1,1-4
flat graphic illustration,1,1-4
flat plain,1,1-4
flat silhouettes,1,1-4
flat washes,1,1-4
flat-topped mountains,1,1-4
flatbread,1,1-4
flatbreads,1,1-4
flecked pattern,1,1-4
flesh,1,1-4
fleur-de-lis patterns,1,1-4
fleur-de-lis scepter,1,1-4
flies,1,1-4
floating bodies,1,1-4
floating debris,1,1-4
floating hand,1,1-4
floating petals,1,1-4
flock,1,1-4
flock of sheep,1,1-4
flooded field,1,1-4
flooded riverbank,1,1-4
floor cushion,1,1-4
floor level,1,1-4
floor level view,1,1-4
floor tiles,1,1-4
floorboards,1,1-4
floral arabesque border,1,1-4
floral arabesque borders,1,1-4
floral arabesque patterns,1,1-4
floral arabesques,1,1-4
floral arrangements,1,1-4
floral basket,1,1-4
floral border patterns,1,1-4
floral brocade pattern,1,1-4
floral brooch,1,1-4
floral cape pattern,1,1-4
floral carpet pattern,1,1-4
floral cartouche,1,1-4
floral carvings,1,1-4
floral ceiling rosettes,1,1-4
floral crowns,1,1-4
floral cushions,1,1-4
floral dress pattern,1,1-4
floral embroidery motifs,1,1-4
floral embroidery patterns,1,1-4
floral fabric,1,1-4
floral field,1,1-4
floral frame,1,1-4
floral gold border,1,1-4
floral gold margins,1,1-4
floral gold patterns,1,1-4
floral headpieces,1,1-4
floral illustration on the left,1,1-4
floral lace pattern,1,1-4
floral margins,1,1-4
floral mat pattern,1,1-4
floral medallion patterns,1,1-4
floral motifs on ceramic pot,1,1-4
floral ornament,1,1-4
floral pattern border,1,1-4
floral pattern borders,1,1-4
floral pattern on bowl,1,1-4
floral pattern on headscarf,1,1-4
floral pattern on robe,1,1-4
floral pattern on vest,1,1-4
floral pattern tapestry,1,1-4
floral patterns on brocade,1,1-4
floral patterns on ceramic,1,1-4
floral patterns on crown,1,1-4
floral patterns on garments,1,1-4
floral patterns on kimono,1,1-4
floral patterns on textiles,1,1-4
floral patterns on vase,1,1-4
floral relief carvings,1,1-4
floral scarf pattern,1,1-4
floral screen motifs,1,1-4
floral scroll motif,1,1-4
floral scroll pattern,1,1-4
floral scrollwork,1,1-4
floral setting,1,1-4
floral tablecloth pattern,1,1-4
floral tapestry pattern,1,1-4
floral textile pattern,1,1-4
floral upholstery,1,1-4
floral wallpaper motifs,1,1-4
floral wallpaper patterns,1,1-4
floral wood carvings,1,1-4
floral wreaths,1,1-4
flower bed,1,1-4
flower box,1,1-4
flower branch,1,1-4
flower crowns,1,1-4
flower cutout,1,1-4
flower head,1,1-4
flower in hair,1,1-4
flower in hand,1,1-4
flower market,1,1-4
flower on the floor,1,1-4
flower pot,1,1-4
flower seller,1,1-4
flower sketch,1,1-4
flower stem,1,1-4
flower wreath,1,1-4
flowered border,1,1-4
flowering garden,1,1-4
flowering garden beds,1,1-4
flowers in a vase,1,1-4
flowers on hat,1,1-4
flowing red drapery,1,1-4
flowing red robe,1,1-4
flowing scarf,1,1-4
flowing white skirts,1,1-4
fluid drapery,1,1-4
fluid forms,1,1-4
fluid reflections,1,1-4
flute players,1,1-4
flute-playing figure,1,1-4
fluted column shaft,1,1-4
fluted niche dome,1,1-4
fluted pillars,1,1-4
fly agaric mushroom,1,1-4
flying angels with wings,1,1-4
flying boat,1,1-4
flying celestial figure,1,1-4
flying chariot,1,1-4
flying deity,1,1-4
flying figure with instrument,1,1-4
flying fish,1,1-4
flying throne,1,1-4
foal,1,1-4
foals,1,1-4
foamy white,1,1-4
foamy white water,1,1-4
focused illumination,1,1-4
focused light source,1,1-4
foggy environment,1,1-4
folded fabric,1,1-4
folded hands,1,1-4
folded newspaper,1,1-4
folded paper,1,1-4
folded paper structure,1,1-4
folding chairs,1,1-4
foliage backdrop,1,1-4
foliage border,1,1-4
foliage crown,1,1-4
foliage dots,1,1-4
foliage growing on ruins,1,1-4
foliage patterns,1,1-4
foliage-like shapes,1,1-4
foliate border,1,1-4
foliate border pattern,1,1-4
foliate head,1,1-4
foliate motifs,1,1-4
foliate pattern,1,1-4
foliate patterns,1,1-4
foliate scroll,1,1-4
foliate scroll border,1,1-4
foliate scrollwork,1,1-4
folk motifs,1,1-4
folklore attire,1,1-4
folklore motifs,1,1-4
food bowl,1,1-4
foot,1,1-4
foot soldiers,1,1-4
foot warmer,1,1-4
footbridge,1,1-4
forearms,1,1-4
foreground cropping,1,1-4
foreground floral focus,1,1-4
foreground focus with distant background,1,1-4
foreground picnic scene,1,1-4
foreground rocky perspective,1,1-4
foreground shadow,1,1-4
foreground trees and pavilion,1,1-4
foreground trees framing the scene,1,1-4
foreground vertical element,1,1-4
forehead,1,1-4
foreshortened figures,1,1-4
foreshortened perspective,1,1-4
forest at night,1,1-4
forest gorge,1,1-4
forest line,1,1-4
forest retreat,1,1-4
forest river,1,1-4
forest scene,1,1-4
forest shelter,1,1-4
forested hill,1,1-4
forested mountains,1,1-4
forested path,1,1-4
forested setting,1,1-4
forests,1,1-4
forget-me-nots,1,1-4
fork,1,1-4
forks,1,1-4
formal ceremony,1,1-4
formal dance,1,1-4
formal gathering,1,1-4
formal gowns,1,1-4
formal portrait setting,1,1-4
formal study,1,1-4
fortification walls,1,1-4
fortified city,1,1-4
fortified town,1,1-4
fortified wall,1,1-4
fortified walls,1,1-4
fortress setting,1,1-4
fortress tower,1,1-4
found object art,1,1-4
fountain basin,1,1-4
fountain pond,1,1-4
fountain pool,1,1-4
fountain structure,1,1-4
four carved figures,1,1-4
four dancers,1,1-4
four female dancers,1,1-4
four female figures,1,1-4
four gentlemen motif,1,1-4
four musical angels,1,1-4
four standing figures,1,1-4
four-armed figure,1,1-4
four-headed figure,1,1-4
four-leaf clovers,1,1-4
four-light window,1,1-4
four-panel grid layout,1,1-4
four-panel polyptych,1,1-4
four-panel screen,1,1-4
four-quadrant grid layout,1,1-4
fox,1,1-4
foxes,1,1-4
foxgloves,1,1-4
fragmentary preservation,1,1-4
fragmented background,1,1-4
fragmented brushstrokes,1,1-4
fragmented face,1,1-4
fragmented plaster,1,1-4
frame,1,1-4
framed artwork,1,1-4
framed by trees,1,1-4
framed composition with foreground foliage,1,1-4
framed composition with trees on the sides,1,1-4
framed illustration,1,1-4
framed painting on wall,1,1-4
framed perspective,1,1-4
framed picture on wall,1,1-4
framed pictures on wall,1,1-4
framed portrait on wall,1,1-4
framed silhouette portrait,1,1-4
framing trees,1,1-4
french typography,1,1-4
fresco border,1,1-4
fresco on plaster,1,1-4
fresco painting on plaster,1,1-4
fresco technique,1,1-4
frescoes,1,1-4
friars,1,1-4
frieze patterns,1,1-4
fringe on sash,1,1-4
fringed garments,1,1-4
frock coats,1,1-4
frog-like creature,1,1-4
front of a building,1,1-4
front view,1,1-4
front-facing perspective,1,1-4
front-facing view,1,1-4
front-three-quarter view,1,1-4
frontal composition,1,1-4
frontal portraiture,1,1-4
frosting,1,1-4
frosty ground,1,1-4
frozen canal,1,1-4
frozen canal scene,1,1-4
frozen river landscape,1,1-4
frozen river scene,1,1-4
frozen sea,1,1-4
fruit bowls,1,1-4
fruit branch,1,1-4
fruit garland,1,1-4
fruit stand,1,1-4
fruit stem,1,1-4
frying pan,1,1-4
full-length depiction,1,1-4
full-length portraits,1,1-4
funeral service,1,1-4
funerary gathering,1,1-4
fungi,1,1-4
fur,1,1-4
fur coats,1,1-4
fur hats,1,1-4
fur muff,1,1-4
fur stoles,1,1-4
fur wrap,1,1-4
fur-trimmed garment,1,1-4
fur-trimmed gown,1,1-4
furrows,1,1-4
futurism,1,1-4
futurist dynamism,1,1-4
gabled brick buildings,1,1-4
gables,1,1-4
gache,1,1-4
galleons,1,1-4
gallery space,1,1-4
gallery wall setting,1,1-4
gallows scene,1,1-4
game board,1,1-4
game pieces,1,1-4
gaming table,1,1-4
gaping maw,1,1-4
garden arbor,1,1-4
garden arch,1,1-4
garden bed,1,1-4
garden beds,1,1-4
garden bridge,1,1-4
garden chair,1,1-4
garden chairs,1,1-4
garden edge,1,1-4
garden estate,1,1-4
garden flowers,1,1-4
garden landscape,1,1-4
garden lawn,1,1-4
garden or field,1,1-4
garden or forest path,1,1-4
garden or orchard,1,1-4
garden party,1,1-4
garden pathway,1,1-4
garden pond,1,1-4
garden pond side,1,1-4
garden pool,1,1-4
garden restaurant,1,1-4
garden setting with flowering branches,1,1-4
garden soil,1,1-4
garden stream,1,1-4
garden villa,1,1-4
gardeners,1,1-4
garland motif,1,1-4
garland of leaves,1,1-4
garland painting,1,1-4
garlands of white flowers,1,1-4
garlic,1,1-4
garlic bulbs,1,1-4
garments,1,1-4
garter,1,1-4
gatehouse,1,1-4
gateposts,1,1-4
gateway,1,1-4
gathered group,1,1-4
gathering of animals,1,1-4
gear,1,1-4
geishas,1,1-4
gemstone inlay,1,1-4
genre scene,1,1-4
geological landscape,1,1-4
geometric alcove,1,1-4
geometric alignment,1,1-4
geometric architectural lines,1,1-4
geometric architecture,1,1-4
geometric blocks,1,1-4
geometric border designs,1,1-4
geometric border on fabric,1,1-4
geometric border on tablecloth,1,1-4
geometric brick patterns,1,1-4
geometric buildings,1,1-4
geometric canopy patterns,1,1-4
geometric cap band,1,1-4
geometric carved railing pattern,1,1-4
geometric ceiling panels,1,1-4
geometric coffered ceiling,1,1-4
geometric corner ornaments,1,1-4
geometric crests,1,1-4
geometric division of space,1,1-4
geometric drawings,1,1-4
geometric dress pattern,1,1-4
geometric dress trim,1,1-4
geometric faces,1,1-4
geometric fence pattern,1,1-4
geometric floral border pattern,1,1-4
geometric form,1,1-4
geometric fragments,1,1-4
geometric frames,1,1-4
